work_id,canonical_title_ar,canonical_title_en,author_name_ar,author_death_hijri,author_death_ce_approx,category_primary,category_secondary,era,language_original,work_status,bibliographic_source,bibliographic_source_url,confidence_note
W001,القرآن الكريم,The Noble Quran,لا يوجد مؤلف بشري - وحي,NULL,NULL,A-القرآن وعلومه,المصاحف,Revelation era,Arabic,primary_scripture_public_domain_as_text,General reference / canonical fact,NULL,HIGH - not independently source-cited this session; universally established
W002,جامع البيان عن تأويل آي القرآن (تفسير الطبري),Tafsir al-Tabari,محمد بن جرير الطبري,310,923,B-التفسير,تفسير بالمأثور,3rd century AH,Arabic,classical_public_domain_author,General reference / classical bio-bibliographical knowledge,NULL,HIGH - standard attribution; needs source URL in follow-up pass
W003,تفسير القرآن العظيم (تفسير ابن كثير),Tafsir Ibn Kathir,إسماعيل بن عمر بن كثير,774,1373,B-التفسير,تفسير بالمأثور,8th century AH,Arabic,classical_public_domain_author,General reference,NULL,HIGH
W004,الجامع لأحكام القرآن (تفسير القرطبي),Tafsir al-Qurtubi,محمد بن أحمد القرطبي,671,1273,B-التفسير,تفسير بالأحكام,7th century AH,Arabic,classical_public_domain_author,General reference,NULL,HIGH
W005,تفسير الجلالين,Tafsir al-Jalalayn,جلال الدين المحلي وجلال الدين السيوطي,864 / 911,1459 / 1505,B-التفسير,تفسير موجز,9th-10th century AH,Arabic,classical_public_domain_author,General reference,NULL,HIGH
W006,أسباب النزول,Asbab al-Nuzul,علي بن أحمد الواحدي,468,1075,A-القرآن وعلومه,أسباب النزول,5th century AH,Arabic,classical_public_domain_author,General reference,NULL,MEDIUM-HIGH
W007,الإتقان في علوم القرآن,Al-Itqan fi Ulum al-Quran,جلال الدين السيوطي,911,1505,A-القرآن وعلومه,علوم القرآن,9th-10th century AH,Arabic,classical_public_domain_author,General reference,NULL,HIGH
W008,صحيح البخاري,Sahih al-Bukhari,محمد بن إسماعيل البخاري,256,870,C-الحديث النبوي,الصحيحان,3rd century AH,Arabic,classical_public_domain_author,General reference,NULL,HIGH
W009,صحيح مسلم,Sahih Muslim,مسلم بن الحجاج القشيري النيسابوري,261,875,C-الحديث النبوي,الصحيحان,3rd century AH,Arabic,classical_public_domain_author,General reference,NULL,HIGH
W010,سنن أبي داود,Sunan Abi Dawud,سليمان بن الأشعث أبو داود السجستاني,275,889,C-الحديث النبوي,السنن,3rd century AH,Arabic,classical_public_domain_author,General reference,NULL,HIGH
W011,جامع الترمذي,Jami al-Tirmidhi,محمد بن عيسى الترمذي,279,892,C-الحديث النبوي,الجوامع,3rd century AH,Arabic,classical_public_domain_author,General reference,NULL,HIGH
W012,سنن النسائي,Sunan al-Nasai,أحمد بن شعيب النسائي,303,915,C-الحديث النبوي,السنن,4th century AH,Arabic,classical_public_domain_author,General reference,NULL,HIGH
W013,سنن ابن ماجه,Sunan Ibn Majah,محمد بن يزيد ابن ماجه,273,887,C-الحديث النبوي,السنن,3rd century AH,Arabic,classical_public_domain_author,General reference,NULL,HIGH
W014,موطأ الإمام مالك,Muwatta Imam Malik,مالك بن أنس,179,795,C-الحديث النبوي,الموطآت,2nd century AH,Arabic,classical_public_domain_author,General reference,NULL,HIGH
W015,مسند الإمام أحمد بن حنبل,Musnad Ahmad,أحمد بن حنبل,241,855,C-الحديث النبوي,المسانيد,3rd century AH,Arabic,classical_public_domain_author,General reference,NULL,HIGH
W016,المستدرك على الصحيحين,Al-Mustadrak ala al-Sahihayn,محمد بن عبد الله الحاكم النيسابوري,405,1014,C-الحديث النبوي,المستدركات,5th century AH,Arabic,classical_public_domain_author,General reference,NULL,MEDIUM-HIGH
W017,صحيح ابن خزيمة,Sahih Ibn Khuzaymah,محمد بن إسحاق ابن خزيمة,311,923,C-الحديث النبوي,المصنفات,4th century AH,Arabic,classical_public_domain_author,General reference,NULL,MEDIUM-HIGH
