dataset_id,provider_id,name,domain,description,docs_url,endpoint,auth_type,credential_required,query_examples,pagination,rate_limit,response_format,languages,record_count_if_known,bulk_dump,bulk_dump_url,license,rights_url,last_verified
openiti_release_2025_1_9,openiti_kitab,OpenITI 2025.1.9 release,Islamicate texts,9106 books / 3618 authors / 14107 text files including 433 MSS transcriptions,https://kitab-project.org/OpenITI-Release-version-2025-1-9/,https://zenodo.org/records/18613982,Public,false,download exact release,N/A,N/A,TSV + text/mARkdown,Arabic|Persian|MSS,14107,true,https://zenodo.org/records/18613982,CC BY-NC-SA 4.0,https://kitab-project.org/docs/openITI,2026-09-23
ia_advanced_search,internet_archive,Internet Archive Advanced Search,Catalogue discovery,JSON search; candidate counts only,https://archive.org/help/aboutsearch.htm,https://archive.org/advancedsearch.php,Public,false,mediatype:texts AND language:Arabic,page+rows,429/Retry-After,JSON,Multilingual,537052 Arabic text candidates observed,false,NULL,item-specific,https://help.archive.org/help/rights/,2026-09-23
ia_scrape,internet_archive,Internet Archive Scraping API,Deep discovery,Cursor-based deep traversal,https://archive.org/help/aboutsearch.htm,https://archive.org/services/search/v1/scrape,Public,false,"fields=identifier,title,creator,licenseurl&count=100",cursor,descriptive User-Agent,JSON,Multilingual,NULL,false,NULL,item-specific,https://help.archive.org/help/rights/,2026-09-23
ia_metadata,internet_archive,Internet Archive Item Metadata API,File manifests,Identifier -> metadata + files[],https://archive.org/developers/metadata.html,https://archive.org/metadata/{identifier},Public read,false,ArIslamicbooks,N/A,automated access guidance,JSON,Item-dependent,NULL,false,NULL,item-specific,https://help.archive.org/help/rights/,2026-09-23
hathi_hathifiles,hathitrust,Hathifiles,Bulk metadata,Monthly full + daily delta metadata inventory,https://www.hathitrust.org/member-libraries/resources-for-librarians/data-resources/hathifiles/,https://www.hathitrust.org/files/hathifiles/hathi_file_list.json,Public metadata,false,select hathi_full + updates,N/A,NULL,gzip TSV,Multilingual,every HathiTrust item,true,https://www.hathitrust.org/files/hathifiles/hathi_file_list.json,CC0 contribution caveat,https://www.hathitrust.org/member-libraries/resources-for-librarians/metadata-in-the-digital-library/metadata-sharing-and-use-policy/,2026-09-23
hathi_oai,hathitrust,HathiTrust OAI-PMH,Bibliographic metadata,MARC21/DC XML; pd and pdus sets,https://www.hathitrust.org/member-libraries/resources-for-librarians/data-resources/oai-feed/,https://oai.hathitrust.org/,Public metadata,false,ListRecords&metadataPrefix=marc21&set=hathitrust:pd,resumptionToken,NULL,XML,Multilingual,NULL,true,https://oai.hathitrust.org/?verb=ListRecords&metadataPrefix=marc21,metadata policy,https://www.hathitrust.org/member-libraries/resources-for-librarians/metadata-in-the-digital-library/metadata-sharing-and-use-policy/,2026-09-23
hathi_bib_api,hathitrust,HathiTrust Bibliographic API,Identifier metadata,record metadata + HTIDs + rights/access strings,https://www.hathitrust.org/member-libraries/resources-for-librarians/data-resources/bibliographic-api/,https://catalog.hathitrust.org/api/volumes/brief/{id_type}/{id_value}.json,Public metadata,false,recordnumber/006790012.json,<=20 identifier specs,NULL,JSON,Record-dependent,NULL,false,Use Hathifiles/OAI,metadata policy,https://www.hathitrust.org/the-collection/search-access/access-use-policy/,2026-09-23
google_books_api,google_books,Google Books API v1,Discovery/preview,Country-sensitive accessInfo,https://developers.google.com/books/docs/v1/using,https://www.googleapis.com/books/v1/volumes,Public search,false,q=صحيح البخاري&langRestrict=ar,startIndex/maxResults<=40,shared environment saw 429,JSON,Multilingual,NULL,false,NULL,Google terms,https://developers.google.com/books/terms,2026-09-23
worldcat_v2,worldcat,WorldCat Search API,Bibliography/holdings,Licensed API,https://www.oclc.org/developer/api/oclc-apis/worldcat-search-api.en.html,https://developer.api.oclc.org/wcv2,WSKey + subscriptions,true,after entitlement,UNVERIFIED,NULL,UNVERIFIED,Multilingual,3991039 Arabic resources May 2026,NEEDS_PERMISSION,NULL,OCLC policy,https://www.oclc.org/en/worldcat/cooperative-quality/policy.html,2026-09-23
loc_json,library_of_congress,LOC JSON/YAML API,Digital metadata,Public structured loc.gov data,https://www.loc.gov/apis/json-and-yaml/,https://www.loc.gov/{endpoint}/?fo=json,Public,false,q=Arabic manuscript,API pagination; deep limit 100000,enforced numeric unknown,JSON/YAML,Multilingual,NULL,false,NULL,item rights separate,https://www.loc.gov/legal/,2026-09-23
